name,id,Cmp,Att,Yds,TD,Int,Sk,Fmb,team_win,start_win,Cmp.,Y.A,TD_pct,Int_pct,game_count,start_count,win_count,win_percent
A.J. Feeley,FeelA.00,16.875,29.375,190.375,1.125,1.125,1.375,0.0,0.625,0.5,0.574468085106383,6.480851063829787,0.03829787234042553,0.03829787234042553,23,18,11,0.4782608695652174
Aaron Brooks,BrooAa00,19.875,34.625,251.75,1.625,0.875,2.625,0.0,0.5,0.5,0.5740072202166066,7.270758122743683,0.04693140794223827,0.02527075812274368,92,91,39,0.42391304347826086
Adrian Burk,BurkAd00,6.375,16.75,114.25,1.0,1.75,0.0,0.0,0.125,0.125,0.3805970149253731,6.82089552238806,0.05970149253731343,0.1044776119402985,51,39,18,0.35294117647058826
Akili Smith,SmitAk00,14.0,29.375,153.375,0.375,1.25,3.875,0.0,0.125,0.125,0.4765957446808511,5.221276595744681,0.01276595744680851,0.0425531914893617,16,14,2,0.125
Al Dorow,DoroAl00,8.5,17.25,117.5,0.875,1.75,0.0,0.0,0.5,0.5,0.4927536231884058,6.811594202898551,0.050724637681159424,0.10144927536231885,43,37,19,0.4418604651162791
Archie Manning,MannAr00,11.75,23.875,152.5,0.875,0.875,0.0,0.0,0.25,0.25,0.49214659685863876,6.387434554973822,0.03664921465968586,0.03664921465968586,131,125,32,0.24427480916030533
Austin Davis,DaviAu00,20.375,31.75,223.125,1.375,0.875,2.875,0.5,0.375,0.375,0.6417322834645669,7.02755905511811,0.04330708661417323,0.027559055118110236,11,10,3,0.2727272727272727
Babe Parilli,PariBa00,7.375,17.0,140.75,1.25,1.875,0.0,0.0,0.625,0.25,0.4338235294117647,8.279411764705882,0.07352941176470588,0.11029411764705882,133,99,60,0.45112781954887216
Bart Starr+,StarBa00,10.5,21.125,140.375,0.625,1.0,0.0,0.0,0.25,0.25,0.4970414201183432,6.644970414201183,0.029585798816568046,0.047337278106508875,149,145,95,0.6375838926174496
Bernie Kosar,KosaBe00,10.125,20.625,131.25,0.5,0.75,1.25,0.0,0.5,0.375,0.4909090909090909,6.363636363636363,0.024242424242424242,0.03636363636363636,116,112,57,0.49137931034482757
Bert Jones,JoneBe00,7.25,17.375,90.875,0.625,1.875,0.0,0.0,0.125,0.125,0.4172661870503597,5.23021582733813,0.03597122302158273,0.1079136690647482,100,96,46,0.46
Bill Kenney,KennBi00,13.75,25.75,191.625,1.0,1.375,0.875,0.0,0.625,0.625,0.5339805825242718,7.441747572815534,0.038834951456310676,0.05339805825242718,81,76,36,0.4444444444444444
Bill Munson,MunsBi00,11.75,24.25,156.25,1.0,1.5,0.0,0.0,0.25,0.25,0.4845360824742268,6.443298969072165,0.041237113402061855,0.061855670103092786,79,66,28,0.35443037974683544
Bill Nelsen,NelsBi00,8.625,20.5,127.5,0.375,1.375,0.0,0.0,0.125,0.125,0.42073170731707316,6.219512195121951,0.018292682926829267,0.06707317073170732,80,77,41,0.5125
Bill Troup,TrouBi00,14.125,26.0,176.25,1.0,2.0,0.0,0.0,0.375,0.375,0.5432692307692307,6.778846153846154,0.038461538461538464,0.07692307692307693,12,11,3,0.25
Billy Kilmer,KilmBi00,11.5,23.875,160.625,0.75,1.125,0.0,0.0,0.25,0.0,0.4816753926701571,6.727748691099476,0.031413612565445025,0.04712041884816754,125,115,64,0.512
Billy Volek,VoleBi00,23.625,38.0,265.0,2.0,0.875,3.25,0.0,0.375,0.25,0.6217105263157895,6.973684210526316,0.05263157894736842,0.023026315789473683,15,10,5,0.3333333333333333
Billy Wade,WadeBi00,11.0,21.0,163.25,1.0,0.75,0.0,0.0,0.25,0.0,0.5238095238095238,7.773809523809524,0.047619047619047616,0.03571428571428571,95,80,44,0.4631578947368421
Bob Avellini,AvelBo00,11.0,21.625,156.5,0.75,1.75,0.0,0.0,0.5,0.5,0.5086705202312138,7.236994219653179,0.03468208092485549,0.08092485549132948,47,44,19,0.40425531914893614
Bob Berry,BerrBo00,9.875,20.5,171.75,0.875,2.0,0.0,0.0,0.125,0.125,0.4817073170731707,8.378048780487806,0.042682926829268296,0.0975609756097561,53,49,20,0.37735849056603776
Bob Celeri,CeleBo00,10.875,25.125,189.25,1.25,1.375,0.0,0.0,0.125,0.125,0.43283582089552236,7.532338308457711,0.04975124378109453,0.05472636815920398,13,10,1,0.07692307692307693
Bob Gagliano,GaglBo00,9.5,19.75,151.0,0.375,1.125,2.25,0.0,0.375,0.25,0.4810126582278481,7.6455696202531644,0.0189873417721519,0.056962025316455694,21,13,9,0.42857142857142855
Bob Griese+,GrieBo00,14.625,28.625,172.25,1.125,1.5,0.0,0.0,0.25,0.125,0.5109170305676856,6.0174672489082965,0.039301310043668124,0.05240174672489083,159,152,96,0.6037735849056604
Bobby Douglass,DougBo00,9.0,19.875,116.0,1.0,1.125,0.0,0.0,0.25,0.25,0.4528301886792453,5.836477987421383,0.050314465408805034,0.05660377358490566,54,43,11,0.2037037037037037
Bobby Hebert,HebeBo00,14.875,28.5,190.375,0.75,1.0,2.5,0.0,0.375,0.375,0.5219298245614035,6.6798245614035086,0.02631578947368421,0.03508771929824561,111,101,59,0.5315315315315315
Bobby Hoying,HoyiBo00,17.125,31.0,204.125,1.375,0.875,4.625,0.0,0.25,0.25,0.5524193548387096,6.584677419354839,0.04435483870967742,0.028225806451612902,16,13,3,0.1875
Bobby Layne+,LaynBo00,13.0,29.625,202.25,1.375,1.625,0.0,0.0,0.5,0.5,0.4388185654008439,6.827004219409282,0.046413502109704644,0.05485232067510549,135,126,83,0.6148148148148148
Bobby Scott,ScotBo00,7.625,19.25,95.5,0.625,0.875,0.0,0.0,0.25,0.125,0.3961038961038961,4.961038961038961,0.032467532467532464,0.045454545454545456,22,12,6,0.2727272727272727
Boomer Esiason,EsiaBo00,14.625,25.375,174.5,1.625,0.625,2.125,0.0,0.5,0.375,0.5763546798029556,6.876847290640394,0.06403940886699508,0.024630541871921183,179,173,84,0.4692737430167598
Brad Johnson,JohnBr00,13.0,21.875,140.25,0.625,0.625,0.75,0.0,0.375,0.125,0.5942857142857143,6.411428571428571,0.02857142857142857,0.02857142857142857,139,130,79,0.5683453237410072
Brady Quinn,QuinBr00,16.625,31.625,173.375,0.875,0.75,2.0,0.375,0.125,0.125,0.525691699604743,5.482213438735178,0.02766798418972332,0.023715415019762844,19,18,4,0.21052631578947367
Brandon Weeden,WeedBr00,20.625,37.375,239.0,1.125,1.25,1.625,0.375,0.25,0.25,0.5518394648829431,6.394648829431438,0.030100334448160536,0.033444816053511704,28,25,8,0.2857142857142857
Brett Favre+,FavrBr00,20.75,33.25,222.0,1.0,0.75,2.75,0.0,0.375,0.25,0.6240601503759399,6.676691729323308,0.03007518796992481,0.022556390977443608,321,319,199,0.6199376947040498
Brian Griese,GrieBr00,18.625,31.75,238.5,1.125,1.0,2.0,0.0,0.25,0.25,0.5866141732283464,7.511811023622047,0.03543307086614173,0.031496062992125984,86,82,46,0.5348837209302325
Brian Hoyer,HoyeBr00,15.875,26.375,173.375,1.0,0.625,1.75,0.125,0.5,0.25,0.6018957345971564,6.57345971563981,0.037914691943127965,0.023696682464454975,45,37,17,0.37777777777777777
